Rank,Name,Count,Gender,Year
87,asher,103,Male,2020
87,jake,103,Male,2020
87,axel,103,Male,2020
91,caleb,102,Male,2020
91,ryder,102,Male,2020
93,dylan,100,Male,2020
94,dominic,99,Male,2020
94,ari,99,Male,2020
96,elias,98,Male,2020
97,felix,96,Male,2020
97,vincent,96,Male,2020
97,lennox,96,Male,2020
97,anthony,96,Male,2020
1,oliver,641,Male,2019
2,noah,573,Male,2019
3,william,531,Male,2019
4,jack,468,Male,2019
5,leo,444,Male,2019
6,lucas,418,Male,2019
7,henry,376,Male,2019
8,thomas,370,Male,2019
9,james,363,Male,2019
10,liam,357,Male,2019
11,ethan,355,Male,2019
12,alexander,339,Male,2019
13,elijah,333,Male,2019
14,charlie,327,Male,2019
15,harrison,296,Male,2019
16,hudson,296,Male,2019
17,theodore,292,Male,2019
18,isaac,289,Male,2019
19,hunter,275,Male,2019
20,harry,271,Male,2019
21,levi,269,Male,2019
22,archie,265,Male,2019
23,jacob,261,Male,2019
24,oscar,260,Male,2019
25,samuel,258,Male,2019
26,max,253,Male,2019
27,cooper,249,Male,2019
28,mason,239,Male,2019
29,luca,232,Male,2019
30,harvey,230,Male,2019
31,george,226,Male,2019
32,lachlan,223,Male,2019
33,sebastian,223,Male,2019
34,joshua,217,Male,2019
35,benjamin,216,Male,2019
36,ryan,214,Male,2019
37,xavier,208,Male,2019
38,daniel,199,Male,2019
39,hugo,196,Male,2019
40,adam,189,Male,2019
41,jayden,189,Male,2019
42,logan,189,Male,2019
43,louis,187,Male,2019
44,arlo,186,Male,2019
45,muhammad,184,Male,2019
46,finn,180,Male,2019
47,jackson,179,Male,2019
48,archer,176,Male,2019
49,edward,172,Male,2019
50,jasper,170,Male,2019
51,arthur,166,Male,2019
52,austin,165,Male,2019
53,michael,165,Male,2019
54,kai,164,Male,2019
55,joseph,158,Male,2019
56,riley,156,Male,2019
57,ashton,155,Male,2019
58,connor,154,Male,2019
59,eli,154,Male,2019
60,aiden,151,Male,2019
61,jaxon,147,Male,2019
62,carter,145,Male,2019
63,lincoln,145,Male,2019
64,gabriel,142,Male,2019
65,jordan,136,Male,2019
66,nicholas,133,Male,2019
67,zachary,133,Male,2019
68,flynn,131,Male,2019
69,matthew,131,Male,2019
70,leon,130,Male,2019
71,christian,128,Male,2019
72,patrick,127,Male,2019
73,angus,124,Male,2019
74,beau,123,Male,2019
75,owen,122,Male,2019
76,ali,119,Male,2019
77,asher,114,Male,2019
78,bodhi,111,Male,2019
79,luke,111,Male,2019
80,dylan,110,Male,2019
81,felix,110,Male,2019
82,charles,108,Male,2019
83,jude,108,Male,2019
84,marcus,108,Male,2019
85,luka,105,Male,2019
86,aaron,103,Male,2019
87,elias,103,Male,2019
88,tyler,102,Male,2019
89,sonny,101,Male,2019
90,dominic,100,Male,2019
91,leonardo,99,Male,2019
92,reuben,97,Male,2019
93,toby,97,Male,2019
94,ezra,96,Male,2019
95,hamish,96,Male,2019
96,nathaniel,96,Male,2019
97,john,95,Male,2019
98,spencer,95,Male,2019
99,isaiah,94,Male,2019
100,theo,94,Male,2019
1,oliver,616,Male,2018
2,william,567,Male,2018
3,noah,539,Male,2018
4,jack,517,Male,2018
5,henry,405,Male,2018
6,thomas,404,Male,2018
7,lucas,394,Male,2018
8,liam,383,Male,2018
9,leo,375,Male,2018
10,alexander,370,Male,2018
11,james,368,Male,2018
12,ethan,345,Male,2018
13,elijah,323,Male,2018
14,mason,306,Male,2018
15,harry,305,Male,2018
16,hunter,296,Male,2018
17,isaac,290,Male,2018
18,jacob,288,Male,2018
19,harrison,287,Male,2018
20,levi,279,Male,2018
21,oscar,278,Male,2018
22,charlie,277,Male,2018
23,theodore,271,Male,2018
24,lachlan,260,Male,2018
25,hudson,255,Male,2018
26,archie,248,Male,2018
27,max,247,Male,2018
28,benjamin,246,Male,2018
29,cooper,242,Male,2018
30,samuel,241,Male,2018
31,ryan,235,Male,2018
32,archer,234,Male,2018
33,george,234,Male,2018
34,joshua,234,Male,2018
35,xavier,223,Male,2018
36,logan,222,Male,2018
37,sebastian,219,Male,2018
38,hugo,217,Male,2018
39,daniel,215,Male,2018
40,finn,201,Male,2018
41,luca,201,Male,2018
42,harvey,200,Male,2018
43,jackson,195,Male,2018
44,muhammad,192,Male,2018
45,jaxon,184,Male,2018
46,adam,182,Male,2018
47,joseph,180,Male,2018
48,kai,176,Male,2018
49,aiden,171,Male,2018
50,edward,171,Male,2018
51,ashton,170,Male,2018
52,lincoln,169,Male,2018
53,eli,164,Male,2018
54,jayden,160,Male,2018
55,austin,157,Male,2018
56,louis,157,Male,2018
57,zachary,156,Male,2018
58,jordan,155,Male,2018
59,arlo,154,Male,2018
60,carter,150,Male,2018
61,riley,148,Male,2018
62,michael,147,Male,2018
63,charles,143,Male,2018
64,ali,139,Male,2018
65,nicholas,139,Male,2018
66,jasper,137,Male,2018
67,dylan,136,Male,2018
68,patrick,136,Male,2018
69,gabriel,135,Male,2018
70,matthew,133,Male,2018
71,owen,132,Male,2018
72,connor,131,Male,2018
73,arthur,125,Male,2018
74,darcy,125,Male,2018
75,luke,123,Male,2018
76,beau,122,Male,2018
77,flynn,121,Male,2018
78,spencer,114,Male,2018
79,toby,113,Male,2018
80,tyler,113,Male,2018
81,angus,111,Male,2018
82,phoenix,111,Male,2018
83,christian,109,Male,2018
84,nathan,109,Male,2018
85,sonny,109,Male,2018
86,anthony,107,Male,2018
87,leon,106,Male,2018
88,marcus,106,Male,2018
89,nate,105,Male,2018
90,asher,104,Male,2018
91,jude,102,Male,2018
92,jake,101,Male,2018
93,bodhi,94,Male,2018
94,caleb,94,Male,2018
95,hamish,92,Male,2018
96,nathaniel,92,Male,2018
97,david,91,Male,2018
98,leonardo,91,Male,2018
99,maxwell,91,Male,2018
100,vincent,90,Male,2018
1,oliver,672,Male,2017
2,william,558,Male,2017
3,noah,541,Male,2017
4,jack,474,Male,2017
5,james,403,Male,2017
6,henry,399,Male,2017
7,thomas,393,Male,2017
8,lucas,381,Male,2017
9,ethan,364,Male,2017
10,alexander,354,Male,2017
11,liam,342,Male,2017
12,lachlan,341,Male,2017
13,harrison,333,Male,2017
14,leo,328,Male,2017
15,isaac,326,Male,2017
16,hunter,301,Male,2017
17,samuel,299,Male,2017
18,jacob,289,Male,2017
19,mason,281,Male,2017
20,charlie,278,Male,2017
21,elijah,276,Male,2017
22,harry,275,Male,2017
23,levi,270,Male,2017
24,xavier,259,Male,2017
25,oscar,257,Male,2017
26,joshua,253,Male,2017
27,harvey,250,Male,2017
28,archie,247,Male,2017
29,george,246,Male,2017
30,ryan,245,Male,2017
31,cooper,244,Male,2017
32,max,242,Male,2017
33,sebastian,242,Male,2017
34,benjamin,241,Male,2017
35,hudson,229,Male,2017
36,logan,225,Male,2017
37,theodore,213,Male,2017
38,jayden,206,Male,2017
39,finn,199,Male,2017
40,archer,198,Male,2017
41,hugo,196,Male,2017
42,daniel,195,Male,2017
43,adam,189,Male,2017
44,jackson,189,Male,2017
45,riley,182,Male,2017
46,jaxon,181,Male,2017
47,joseph,180,Male,2017
48,arlo,177,Male,2017
49,edward,174,Male,2017
50,lincoln,171,Male,2017
51,aiden,169,Male,2017
52,eli,168,Male,2017
53,kai,168,Male,2017
54,luca,167,Male,2017
55,ashton,166,Male,2017
56,matthew,164,Male,2017
57,michael,161,Male,2017
58,connor,160,Male,2017
59,tyler,160,Male,2017
60,zachary,158,Male,2017
61,gabriel,157,Male,2017
62,muhammad,156,Male,2017
63,flynn,153,Male,2017
64,ali,147,Male,2017
65,patrick,147,Male,2017
66,austin,145,Male,2017
67,dylan,145,Male,2017
68,christian,137,Male,2017
69,jasper,137,Male,2017
70,nicholas,134,Male,2017
71,louis,133,Male,2017
72,toby,129,Male,2017
73,hamish,125,Male,2017
74,jordan,125,Male,2017
75,beau,123,Male,2017
76,carter,121,Male,2017
77,charles,118,Male,2017
78,darcy,114,Male,2017
79,owen,113,Male,2017
80,isaiah,112,Male,2017
81,jake,111,Male,2017
82,aaron,108,Male,2017
83,john,108,Male,2017
84,marcus,107,Male,2017
85,luke,106,Male,2017
86,angus,103,Male,2017
87,felix,102,Male,2017
88,arthur,101,Male,2017
89,anthony,99,Male,2017
90,bodhi,98,Male,2017
91,caleb,98,Male,2017
92,nathaniel,98,Male,2017
93,jude,97,Male,2017
94,vincent,97,Male,2017
95,dominic,96,Male,2017
96,leon,95,Male,2017
97,nate,95,Male,2017
98,harley,93,Male,2017
99,nixon,93,Male,2017
100,phoenix,91,Male,2017
1,oliver,691,Male,2016
2,william,591,Male,2016
3,noah,537,Male,2016
4,jack,527,Male,2016
5,lucas,473,Male,2016
6,james,455,Male,2016
7,ethan,435,Male,2016
8,thomas,424,Male,2016
9,alexander,386,Male,2016
10,leo,371,Male,2016
11,lachlan,370,Male,2016
12,isaac,364,Male,2016
13,liam,361,Male,2016
14,jacob,358,Male,2016
15,samuel,350,Male,2016
16,harrison,346,Male,2016
17,benjamin,345,Male,2016
18,henry,331,Male,2016
19,joshua,317,Male,2016
20,max,313,Male,2016
21,mason,308,Male,2016
22,hunter,306,Male,2016
23,cooper,299,Male,2016
24,levi,296,Male,2016
25,charlie,286,Male,2016
26,ryan,282,Male,2016
27,harry,276,Male,2016
28,hudson,272,Male,2016
29,daniel,271,Male,2016
30,oscar,260,Male,2016
31,jayden,259,Male,2016
32,elijah,255,Male,2016
33,xavier,252,Male,2016
34,archie,249,Male,2016
35,riley,234,Male,2016
36,sebastian,222,Male,2016
37,george,207,Male,2016
38,jackson,206,Male,2016
39,aiden,199,Male,2016
40,zachary,199,Male,2016
41,logan,198,Male,2016
42,joseph,194,Male,2016
43,adam,191,Male,2016
44,finn,191,Male,2016
45,archer,186,Male,2016
46,theodore,186,Male,2016
47,ashton,182,Male,2016
48,luca,180,Male,2016
49,patrick,180,Male,2016
50,hugo,178,Male,2016
51,kai,176,Male,2016
52,lincoln,174,Male,2016
53,matthew,174,Male,2016
54,connor,172,Male,2016
55,harvey,172,Male,2016
56,edward,171,Male,2016
57,muhammad,171,Male,2016
58,flynn,170,Male,2016
59,arlo,166,Male,2016
60,louis,164,Male,2016
61,austin,162,Male,2016
62,nicholas,160,Male,2016
63,michael,159,Male,2016
64,nate,156,Male,2016
65,beau,155,Male,2016
66,jaxon,155,Male,2016
67,tyler,155,Male,2016
68,christian,153,Male,2016
69,eli,153,Male,2016
70,dylan,152,Male,2016
71,felix,152,Male,2016
72,jordan,148,Male,2016
73,owen,147,Male,2016
74,ali,144,Male,2016
75,luke,144,Male,2016
76,gabriel,141,Male,2016
77,angus,138,Male,2016
78,charles,138,Male,2016
79,dominic,134,Male,2016
80,jasper,130,Male,2016
81,aaron,126,Male,2016
82,carter,126,Male,2016
83,anthony,116,Male,2016
84,chase,116,Male,2016
85,blake,115,Male,2016
86,marcus,112,Male,2016
87,caleb,111,Male,2016
88,toby,109,Male,2016
89,andrew,108,Male,2016
90,nathaniel,105,Male,2016
91,jake,104,Male,2016
92,nathan,104,Male,2016
93,sonny,104,Male,2016
94,leon,103,Male,2016
95,john,101,Male,2016
96,hayden,97,Male,2016
97,jonathan,97,Male,2016
98,spencer,97,Male,2016
99,hamish,96,Male,2016
100,darcy,95,Male,2016
1,oliver,718,Male,2015
2,william,633,Male,2015
3,jack,582,Male,2015
4,noah,522,Male,2015
5,james,451,Male,2015
6,lucas,444,Male,2015
7,thomas,443,Male,2015
8,isaac,409,Male,2015
9,ethan,390,Male,2015
10,jacob,382,Male,2015
11,alexander,378,Male,2015
12,lachlan,361,Male,2015
13,samuel,361,Male,2015
14,harrison,354,Male,2015
15,joshua,346,Male,2015
16,liam,345,Male,2015
17,henry,344,Male,2015
18,cooper,343,Male,2015
19,benjamin,335,Male,2015
20,mason,334,Male,2015
21,charlie,328,Male,2015
22,ryan,317,Male,2015
23,max,313,Male,2015
24,levi,288,Male,2015
25,leo,282,Male,2015
26,oscar,276,Male,2015
27,harry,271,Male,2015
28,daniel,256,Male,2015
29,xavier,254,Male,2015
30,logan,249,Male,2015
31,jackson,247,Male,2015
32,sebastian,243,Male,2015
33,archie,242,Male,2015
34,hunter,241,Male,2015
35,elijah,238,Male,2015
36,hudson,234,Male,2015
37,jayden,233,Male,2015
38,george,228,Male,2015
39,joseph,212,Male,2015
40,riley,208,Male,2015
41,adam,201,Male,2015
42,edward,197,Male,2015
43,aiden,196,Male,2015
44,michael,196,Male,2015
45,hugo,189,Male,2015
46,ashton,187,Male,2015
47,tyler,187,Male,2015
48,nate,185,Male,2015
49,flynn,184,Male,2015
50,zachary,184,Male,2015
51,archer,183,Male,2015
52,matthew,177,Male,2015
53,jaxon,173,Male,2015
54,christian,171,Male,2015
55,nicholas,171,Male,2015
56,luca,170,Male,2015
57,lincoln,169,Male,2015
58,eli,167,Male,2015
59,theodore,166,Male,2015
60,jake,165,Male,2015
61,harvey,164,Male,2015
62,beau,163,Male,2015
63,patrick,163,Male,2015
64,finn,159,Male,2015
65,austin,157,Male,2015
66,dylan,150,Male,2015
67,luke,146,Male,2015
68,connor,142,Male,2015
69,gabriel,139,Male,2015
70,jordan,138,Male,2015
71,muhammad,138,Male,2015
72,charles,137,Male,2015
73,kai,136,Male,2015
74,braxton,130,Male,2015
75,dominic,130,Male,2015
76,chase,127,Male,2015
77,louis,127,Male,2015
78,blake,126,Male,2015
79,ali,125,Male,2015
80,john,120,Male,2015
81,nathan,120,Male,2015
82,felix,117,Male,2015
83,carter,116,Male,2015
84,anthony,115,Male,2015
85,angus,110,Male,2015
86,caleb,110,Male,2015
87,andrew,108,Male,2015
88,marcus,108,Male,2015
89,nathaniel,108,Male,2015
90,toby,107,Male,2015
91,harley,105,Male,2015
92,hayden,105,Male,2015
93,ryder,105,Male,2015
94,arlo,104,Male,2015
95,jasper,104,Male,2015
96,owen,103,Male,2015
97,jonathan,102,Male,2015
98,hamish,99,Male,2015
99,maxwell,95,Male,2015
100,david,94,Male,2015
1,oliver,667,Male,2014
2,william,633,Male,2014
3,noah,559,Male,2014
4,jack,549,Male,2014
5,james,484,Male,2014
6,lucas,483,Male,2014
7,thomas,471,Male,2014
8,alexander,456,Male,2014
9,ethan,428,Male,2014
10,liam,415,Male,2014
11,cooper,393,Male,2014
12,jacob,392,Male,2014
13,max,391,Male,2014
14,isaac,380,Male,2014
15,harrison,375,Male,2014
16,lachlan,375,Male,2014
17,joshua,370,Male,2014
18,samuel,359,Male,2014
19,mason,329,Male,2014
20,benjamin,326,Male,2014
21,charlie,319,Male,2014
22,ryan,317,Male,2014
23,henry,316,Male,2014
24,jayden,294,Male,2014
25,daniel,292,Male,2014
26,hunter,287,Male,2014
27,oscar,286,Male,2014
28,leo,284,Male,2014
29,harry,281,Male,2014
30,xavier,273,Male,2014
31,elijah,253,Male,2014
32,archie,250,Male,2014
33,sebastian,248,Male,2014
34,levi,246,Male,2014
35,jackson,245,Male,2014
36,george,243,Male,2014
37,logan,241,Male,2014
38,aiden,233,Male,2014
39,riley,209,Male,2014
40,tyler,206,Male,2014
41,flynn,205,Male,2014
42,matthew,205,Male,2014
43,nicholas,204,Male,2014
44,adam,201,Male,2014
45,hudson,201,Male,2014
46,zachary,201,Male,2014
47,michael,200,Male,2014
48,hugo,199,Male,2014
49,joseph,199,Male,2014
50,edward,198,Male,2014
51,nate,191,Male,2014
52,patrick,190,Male,2014
53,dylan,187,Male,2014
54,jaxon,186,Male,2014
55,jake,179,Male,2014
56,luke,177,Male,2014
57,ashton,174,Male,2014
58,beau,173,Male,2014
59,kai,172,Male,2014
60,luca,170,Male,2014
61,archer,169,Male,2014
62,jordan,165,Male,2014
63,eli,164,Male,2014
64,ali,156,Male,2014
65,marcus,155,Male,2014
66,connor,153,Male,2014
67,austin,150,Male,2014
68,lincoln,149,Male,2014
69,gabriel,148,Male,2014
70,finn,147,Male,2014
71,christian,146,Male,2014
72,braxton,144,Male,2014
73,nathan,140,Male,2014
74,chase,138,Male,2014
75,jasper,138,Male,2014
76,louis,136,Male,2014
77,blake,135,Male,2014
78,angus,131,Male,2014
79,dominic,131,Male,2014
80,muhammad,130,Male,2014
81,caleb,122,Male,2014
82,toby,121,Male,2014
83,hayden,119,Male,2014
84,charles,118,Male,2014
85,bailey,117,Male,2014
86,felix,117,Male,2014
87,hamish,116,Male,2014
88,anthony,115,Male,2014
89,david,115,Male,2014
90,ryder,112,Male,2014
91,aaron,111,Male,2014
92,owen,111,Male,2014
93,jesse,109,Male,2014
94,christopher,108,Male,2014
95,john,108,Male,2014
96,phoenix,105,Male,2014
97,maxwell,103,Male,2014
98,nathaniel,101,Male,2014
99,darcy,100,Male,2014
100,jonathan,100,Male,2014
1,william,699,Male,2013
2,oliver,637,Male,2013
3,jack,588,Male,2013
4,noah,562,Male,2013
5,james,514,Male,2013
6,lucas,475,Male,2013
7,thomas,466,Male,2013
8,lachlan,463,Male,2013
9,cooper,455,Male,2013
10,ethan,453,Male,2013
11,liam,450,Male,2013
12,jacob,434,Male,2013
13,alexander,426,Male,2013
14,isaac,417,Male,2013
15,joshua,409,Male,2013
16,samuel,403,Male,2013
17,harrison,357,Male,2013
18,mason,354,Male,2013
19,benjamin,347,Male,2013
20,max,337,Male,2013
21,charlie,335,Male,2013
22,jayden,322,Male,2013
23,henry,311,Male,2013
24,daniel,307,Male,2013
25,hunter,302,Male,2013
26,ryan,300,Male,2013
27,oscar,294,Male,2013
28,levi,288,Male,2013
29,xavier,287,Male,2013
30,harry,278,Male,2013
31,riley,278,Male,2013
32,flynn,267,Male,2013
33,logan,265,Male,2013
34,sebastian,244,Male,2013
35,elijah,242,Male,2013
36,jackson,240,Male,2013
37,tyler,234,Male,2013
38,leo,226,Male,2013
39,archie,213,Male,2013
40,matthew,211,Male,2013
41,joseph,210,Male,2013
42,michael,205,Male,2013
43,adam,204,Male,2013
44,aiden,204,Male,2013
45,zachary,203,Male,2013
46,jaxon,200,Male,2013
47,nicholas,200,Male,2013
48,patrick,198,Male,2013
49,hudson,196,Male,2013
50,braxton,195,Male,2013
51,jake,195,Male,2013
52,christian,191,Male,2013
53,edward,189,Male,2013
54,george,183,Male,2013
55,hugo,178,Male,2013
56,luke,178,Male,2013
57,eli,173,Male,2013
58,ashton,169,Male,2013
59,chase,168,Male,2013
60,luca,168,Male,2013
61,beau,162,Male,2013
62,nathan,161,Male,2013
63,blake,160,Male,2013
64,lincoln,159,Male,2013
65,dylan,157,Male,2013
66,kai,155,Male,2013
67,marcus,155,Male,2013
68,hayden,154,Male,2013
69,finn,152,Male,2013
70,caleb,151,Male,2013
71,archer,148,Male,2013
72,nate,142,Male,2013
73,ali,141,Male,2013
74,connor,140,Male,2013
75,toby,139,Male,2013
76,anthony,137,Male,2013
77,austin,137,Male,2013
78,louis,133,Male,2013
79,muhammad,131,Male,2013
80,nathaniel,129,Male,2013
81,charles,128,Male,2013
82,felix,127,Male,2013
83,jasper,127,Male,2013
84,jonathan,127,Male,2013
85,jordan,127,Male,2013
86,angus,125,Male,2013
87,dominic,122,Male,2013
88,mitchell,121,Male,2013
89,john,115,Male,2013
90,alex,112,Male,2013
91,owen,112,Male,2013
92,aaron,110,Male,2013
93,bailey,110,Male,2013
94,david,110,Male,2013
95,ryder,110,Male,2013
96,darcy,107,Male,2013
97,gabriel,107,Male,2013
98,jesse,106,Male,2013
99,jett,106,Male,2013
100,christopher,105,Male,2013
1,william,652,Male,2012
2,lucas,576,Male,2012
3,noah,574,Male,2012
4,jack,570,Male,2012
5,oliver,570,Male,2012
6,ethan,554,Male,2012
7,lachlan,524,Male,2012
8,joshua,522,Male,2012
9,thomas,519,Male,2012
10,james,498,Male,2012
11,jacob,471,Male,2012
12,cooper,462,Male,2012
13,liam,441,Male,2012
14,alexander,432,Male,2012
15,benjamin,428,Male,2012
16,isaac,387,Male,2012
17,ryan,378,Male,2012
18,max,366,Male,2012
19,samuel,356,Male,2012
20,daniel,354,Male,2012
21,charlie,348,Male,2012
22,jayden,331,Male,2012
23,mason,324,Male,2012
24,xavier,322,Male,2012
25,harrison,309,Male,2012
26,tyler,295,Male,2012
27,harry,279,Male,2012
28,henry,279,Male,2012
29,riley,278,Male,2012
30,levi,276,Male,2012
31,oscar,275,Male,2012
32,dylan,257,Male,2012
33,jake,253,Male,2012
34,nicholas,245,Male,2012
35,hunter,244,Male,2012
36,jackson,244,Male,2012
37,logan,241,Male,2012
38,michael,228,Male,2012
39,sebastian,224,Male,2012
40,matthew,221,Male,2012
41,beau,219,Male,2012
42,archie,218,Male,2012
43,luke,218,Male,2012
44,braxton,212,Male,2012
45,aiden,210,Male,2012
46,blake,209,Male,2012
47,elijah,206,Male,2012
48,flynn,205,Male,2012
49,zachary,204,Male,2012
50,leo,203,Male,2012
51,patrick,203,Male,2012
52,jaxon,196,Male,2012
53,joseph,193,Male,2012
54,eli,188,Male,2012
55,adam,187,Male,2012
56,hayden,184,Male,2012
57,christian,180,Male,2012
58,marcus,177,Male,2012
59,kai,171,Male,2012
60,luca,169,Male,2012
61,angus,165,Male,2012
62,chase,164,Male,2012
63,george,163,Male,2012
64,nathan,161,Male,2012
65,connor,160,Male,2012
66,edward,158,Male,2012
67,hugo,157,Male,2012
68,nate,157,Male,2012
69,charles,149,Male,2012
70,jordan,147,Male,2012
71,toby,147,Male,2012
72,finn,143,Male,2012
73,hudson,138,Male,2012
74,ali,137,Male,2012
75,anthony,137,Male,2012
76,lincoln,137,Male,2012
77,ashton,134,Male,2012
78,jonathan,133,Male,2012
79,mitchell,132,Male,2012
80,andrew,129,Male,2012
81,cameron,128,Male,2012
82,christopher,127,Male,2012
83,owen,125,Male,2012
84,bailey,124,Male,2012
85,caleb,124,Male,2012
86,hamish,124,Male,2012
87,aidan,123,Male,2012
88,gabriel,123,Male,2012
89,john,122,Male,2012
90,alex,121,Male,2012
91,zac,121,Male,2012
92,dominic,119,Male,2012
93,archer,118,Male,2012
94,jasper,118,Male,2012
95,jesse,117,Male,2012
96,austin,114,Male,2012
97,muhammad,113,Male,2012
98,david,112,Male,2012
99,callum,111,Male,2012
100,darcy,110,Male,2012
1,william,650,Male,2011
2,lucas,605,Male,2011
3,lachlan,590,Male,2011
4,ethan,568,Male,2011
5,jack,559,Male,2011
6,oliver,555,Male,2011
7,noah,542,Male,2011
8,thomas,519,Male,2011
9,joshua,510,Male,2011
10,cooper,502,Male,2011
11,james,481,Male,2011
12,jacob,478,Male,2011
13,benjamin,474,Male,2011
14,liam,463,Male,2011
15,samuel,460,Male,2011
16,alexander,411,Male,2011
17,max,393,Male,2011
18,charlie,389,Male,2011
19,isaac,369,Male,2011
20,riley,359,Male,2011
21,jayden,356,Male,2011
22,xavier,338,Male,2011
23,ryan,332,Male,2011
