Rank,Name,Count,Sex,Year
1,sophia,3447,Female,2013
2,isabella,2777,Female,2013
3,mia,2586,Female,2013
4,emma,2477,Female,2013
5,emily,2280,Female,2013
6,olivia,2152,Female,2013
7,sofia,1977,Female,2013
8,abigail,1490,Female,2013
9,camila,1484,Female,2013
10,samantha,1403,Female,2013
11,victoria,1379,Female,2013
12,ava,1341,Female,2013
13,natalie,1138,Female,2013
14,elizabeth,1058,Female,2013
15,charlotte,1057,Female,2013
16,chloe,1044,Female,2013
17,genesis,1004,Female,2013
18,audrey,992,Female,2013
19,madison,973,Female,2013
20,evelyn,959,Female,2013
21,zoe,894,Female,2013
22,melanie,876,Female,2013
23,grace,870,Female,2013
24,alexa,824,Female,2013
25,scarlett,820,Female,2013
1,sophia,3621,Female,2012
2,isabella,3085,Female,2012
3,emma,2437,Female,2012
4,emily,2419,Female,2012
5,mia,2315,Female,2012
6,olivia,1899,Female,2012
7,sofia,1679,Female,2012
8,abigail,1642,Female,2012
9,samantha,1444,Female,2012
10,camila,1412,Female,2012
11,ava,1405,Female,2012
12,victoria,1305,Female,2012
13,natalie,1290,Female,2012
14,elizabeth,1095,Female,2012
15,chloe,1092,Female,2012
16,evelyn,1038,Female,2012
17,genesis,1029,Female,2012
18,ashley,998,Female,2012
19,madison,986,Female,2012
19,zoe,986,Female,2012
21,charlotte,911,Female,2012
22,hailey,899,Female,2012
23,melanie,886,Female,2012
24,audrey,855,Female,2012
25,kimberly,850,Female,2012
1,sophia,3549,Female,2011
2,isabella,3049,Female,2011
3,emily,2389,Female,2011
4,mia,2301,Female,2011
5,emma,2113,Female,2011
6,olivia,1785,Female,2011
7,sofia,1566,Female,2011
8,abigail,1556,Female,2011
9,samantha,1544,Female,2011
10,natalie,1488,Female,2011
11,camila,1449,Female,2011
12,ava,1373,Female,2011
13,victoria,1279,Female,2011
14,chloe,1272,Female,2011
15,elizabeth,1199,Female,2011
16,ashley,1152,Female,2011
17,madison,1104,Female,2011
18,evelyn,1058,Female,2011
19,kimberly,989,Female,2011
20,alyssa,932,Female,2011
20,andrea,932,Female,2011
22,hailey,929,Female,2011
23,ella,913,Female,2011
24,alexa,905,Female,2011
25,zoe,899,Female,2011
1,isabella,3354,Female,2010
2,sophia,3352,Female,2010
3,emily,2385,Female,2010
4,mia,2008,Female,2010
5,emma,1774,Female,2010
6,samantha,1669,Female,2010
7,olivia,1630,Female,2010
8,abigail,1617,Female,2010
9,natalie,1466,Female,2010
10,ava,1403,Female,2010
11,sofia,1395,Female,2010
12,chloe,1366,Female,2010
13,ashley,1312,Female,2010
14,camila,1218,Female,2010
15,elizabeth,1119,Female,2010
16,victoria,1071,Female,2010
17,alyssa,1065,Female,2010
18,brianna,1052,Female,2010
19,madison,1034,Female,2010
20,kimberly,1002,Female,2010
21,alexa,991,Female,2010
22,valeria,981,Female,2010
23,evelyn,976,Female,2010
24,hailey,912,Female,2010
25,bella,902,Female,2010
1,isabella,3156,Female,2009
2,sophia,2653,Female,2009
3,emily,2536,Female,2009
4,mia,2102,Female,2009
5,samantha,1832,Female,2009
6,natalie,1729,Female,2009
7,emma,1708,Female,2009
8,ashley,1618,Female,2009
9,abigail,1552,Female,2009
10,olivia,1550,Female,2009
11,ava,1338,Female,2009
12,elizabeth,1306,Female,2009
13,chloe,1304,Female,2009
14,valeria,1252,Female,2009
15,sofia,1231,Female,2009
16,madison,1216,Female,2009
17,alyssa,1204,Female,2009
18,brianna,1189,Female,2009
19,kimberly,1119,Female,2009
20,camila,1053,Female,2009
21,andrea,1050,Female,2009
22,alexa,1026,Female,2009
23,victoria,1002,Female,2009
24,alexis,980,Female,2009
24,evelyn,980,Female,2009
1,isabella,2780,Female,2008
2,emily,2770,Female,2008
3,sophia,2565,Female,2008
4,samantha,2255,Female,2008
5,ashley,2039,Female,2008
6,natalie,1875,Female,2008
7,mia,1844,Female,2008
8,emma,1738,Female,2008
9,abigail,1570,Female,2008
10,ava,1468,Female,2008
11,olivia,1418,Female,2008
12,madison,1410,Female,2008
13,elizabeth,1409,Female,2008
14,valeria,1374,Female,2008
15,alyssa,1357,Female,2008
16,chloe,1355,Female,2008
17,sofia,1328,Female,2008
18,kimberly,1318,Female,2008
19,brianna,1230,Female,2008
20,victoria,1145,Female,2008
21,andrea,1110,Female,2008
22,camila,1100,Female,2008
23,jocelyn,1089,Female,2008
24,jasmine,1040,Female,2008
25,vanessa,1030,Female,2008
1,emily,2954,Female,2007
2,isabella,2918,Female,2007
3,sophia,2596,Female,2007
4,ashley,2517,Female,2007
5,samantha,2366,Female,2007
6,mia,2060,Female,2007
7,natalie,1908,Female,2007
8,emma,1628,Female,2007
9,alyssa,1556,Female,2007
10,jocelyn,1516,Female,2007
11,elizabeth,1507,Female,2007
12,ava,1480,Female,2007
13,abigail,1432,Female,2007
14,kimberly,1409,Female,2007
15,madison,1349,Female,2007
16,olivia,1335,Female,2007
17,brianna,1331,Female,2007
18,sofia,1318,Female,2007
19,jasmine,1300,Female,2007
20,andrea,1269,Female,2007
21,vanessa,1209,Female,2007
22,hannah,1172,Female,2007
23,chloe,1168,Female,2007
24,alexa,1158,Female,2007
25,victoria,1141,Female,2007
1,emily,3088,Female,2006
2,isabella,2786,Female,2006
3,ashley,2605,Female,2006
4,mia,2440,Female,2006
5,samantha,2336,Female,2006
6,natalie,2223,Female,2006
7,sophia,1967,Female,2006
8,emma,1544,Female,2006
9,abigail,1477,Female,2006
10,ava,1469,Female,2006
11,madison,1435,Female,2006
12,elizabeth,1424,Female,2006
13,alyssa,1398,Female,2006
14,brianna,1393,Female,2006
14,kimberly,1393,Female,2006
16,jasmine,1382,Female,2006
17,andrea,1317,Female,2006
18,jessica,1259,Female,2006
19,alexa,1241,Female,2006
20,olivia,1209,Female,2006
21,hannah,1205,Female,2006
22,valeria,1203,Female,2006
23,angelina,1157,Female,2006
24,sarah,1154,Female,2006
25,jocelyn,1143,Female,2006
1,emily,3276,Female,2005
2,ashley,2777,Female,2005
3,samantha,2489,Female,2005
4,isabella,2344,Female,2005
5,mia,2184,Female,2005
6,natalie,2040,Female,2005
7,sophia,1885,Female,2005
8,emma,1633,Female,2005
9,alyssa,1617,Female,2005
10,madison,1525,Female,2005
11,jasmine,1521,Female,2005
12,elizabeth,1486,Female,2005
13,jessica,1410,Female,2005
14,kimberly,1399,Female,2005
15,abigail,1372,Female,2005
16,brianna,1351,Female,2005
17,jennifer,1292,Female,2005
18,ava,1227,Female,2005
19,hannah,1218,Female,2005
20,sarah,1212,Female,2005
21,alexis,1204,Female,2005
22,andrea,1203,Female,2005
23,angelina,1179,Female,2005
24,vanessa,1154,Female,2005
25,stephanie,1153,Female,2005
1,emily,3395,Female,2004
2,ashley,2927,Female,2004
3,samantha,2479,Female,2004
4,isabella,2443,Female,2004
5,natalie,1942,Female,2004
6,alyssa,1806,Female,2004
7,emma,1742,Female,2004
8,sophia,1715,Female,2004
9,jessica,1705,Female,2004
10,jasmine,1666,Female,2004
11,elizabeth,1595,Female,2004
12,madison,1575,Female,2004
13,jennifer,1486,Female,2004
14,kimberly,1460,Female,2004
15,alexis,1437,Female,2004
16,andrea,1376,Female,2004
17,abigail,1318,Female,2004
18,hannah,1315,Female,2004
19,sarah,1305,Female,2004
20,vanessa,1302,Female,2004
21,mia,1272,Female,2004
22,stephanie,1249,Female,2004
23,brianna,1223,Female,2004
24,michelle,1154,Female,2004
25,olivia,1149,Female,2004
1,emily,3398,Female,2003
2,ashley,2732,Female,2003
3,samantha,2571,Female,2003
4,isabella,2173,Female,2003
5,alyssa,1920,Female,2003
6,emma,1832,Female,2003
7,natalie,1817,Female,2003
8,jessica,1756,Female,2003
9,jennifer,1697,Female,2003
10,elizabeth,1666,Female,2003
11,jasmine,1608,Female,2003
12,alexis,1549,Female,2003
13,sophia,1527,Female,2003
14,madison,1454,Female,2003
15,sarah,1417,Female,2003
16,kimberly,1410,Female,2003
17,hannah,1375,Female,2003
18,stephanie,1330,Female,2003
19,vanessa,1327,Female,2003
20,andrea,1320,Female,2003
21,brianna,1295,Female,2003
22,abigail,1264,Female,2003
23,maria,1249,Female,2003
24,michelle,1239,Female,2003
25,mia,1226,Female,2003
1,emily,3011,Female,2002
2,ashley,2670,Female,2002
3,samantha,2535,Female,2002
4,jessica,1994,Female,2002
5,jennifer,1977,Female,2002
6,isabella,1873,Female,2002
7,alyssa,1869,Female,2002
8,elizabeth,1699,Female,2002
9,jasmine,1659,Female,2002
10,natalie,1638,Female,2002
11,alexis,1581,Female,2002
12,sarah,1549,Female,2002
13,madison,1527,Female,2002
14,hannah,1485,Female,2002
15,stephanie,1463,Female,2002
16,brianna,1453,Female,2002
17,andrea,1340,Female,2002
18,sophia,1323,Female,2002
19,maria,1306,Female,2002
20,emma,1287,Female,2002
21,michelle,1277,Female,2002
22,vanessa,1258,Female,2002
23,victoria,1211,Female,2002
24,kimberly,1206,Female,2002
24,leslie,1206,Female,2002
1,emily,2921,Female,2001
2,ashley,2707,Female,2001
3,samantha,2518,Female,2001
4,jessica,2226,Female,2001
5,alyssa,2051,Female,2001
6,jennifer,2015,Female,2001
7,natalie,1715,Female,2001
8,elizabeth,1681,Female,2001
9,alexis,1662,Female,2001
10,jasmine,1651,Female,2001
11,sarah,1592,Female,2001
12,madison,1590,Female,2001
13,hannah,1572,Female,2001
14,andrea,1511,Female,2001
15,stephanie,1503,Female,2001
16,isabella,1474,Female,2001
17,vanessa,1440,Female,2001
18,brianna,1399,Female,2001
19,kimberly,1361,Female,2001
20,maria,1357,Female,2001
21,kayla,1205,Female,2001
22,destiny,1200,Female,2001
22,jacqueline,1200,Female,2001
24,michelle,1193,Female,2001
25,victoria,1188,Female,2001
1,emily,2955,Female,2000
2,ashley,2815,Female,2000
3,samantha,2576,Female,2000
4,jessica,2467,Female,2000
5,jennifer,2256,Female,2000
6,alyssa,2003,Female,2000
7,hannah,1849,Female,2000
8,sarah,1847,Female,2000
9,elizabeth,1830,Female,2000
10,alexis,1825,Female,2000
11,vanessa,1628,Female,2000
12,jasmine,1599,Female,2000
13,stephanie,1585,Female,2000
14,natalie,1578,Female,2000
15,jacqueline,1551,Female,2000
16,maria,1465,Female,2000
17,brianna,1442,Female,2000
18,madison,1433,Female,2000
19,andrea,1409,Female,2000
20,kimberly,1394,Female,2000
21,lauren,1383,Female,2000
22,michelle,1360,Female,2000
23,victoria,1288,Female,2000
24,destiny,1188,Female,2000
25,nicole,1162,Female,2000
1,emily,2805,Female,1999
2,samantha,2781,Female,1999
3,jennifer,2660,Female,1999
4,ashley,2593,Female,1999
5,jessica,2490,Female,1999
6,alyssa,2067,Female,1999
7,alexis,1966,Female,1999
8,sarah,1965,Female,1999
9,elizabeth,1844,Female,1999
10,vanessa,1768,Female,1999
11,stephanie,1754,Female,1999
12,hannah,1676,Female,1999
13,jasmine,1651,Female,1999
14,natalie,1645,Female,1999
15,maria,1569,Female,1999
16,victoria,1456,Female,1999
17,lauren,1384,Female,1999
18,madison,1372,Female,1999
19,kimberly,1348,Female,1999
20,brianna,1345,Female,1999
21,andrea,1307,Female,1999
22,michelle,1267,Female,1999
23,melissa,1251,Female,1999
24,nicole,1208,Female,1999
25,taylor,1202,Female,1999
1,jessica,2832,Female,1998
2,ashley,2696,Female,1998
3,samantha,2665,Female,1998
4,emily,2660,Female,1998
5,jennifer,2544,Female,1998
6,sarah,2129,Female,1998
7,alexis,2022,Female,1998
8,vanessa,1965,Female,1998
9,alyssa,1953,Female,1998
10,stephanie,1941,Female,1998
11,elizabeth,1917,Female,1998
12,jasmine,1702,Female,1998
13,hannah,1665,Female,1998
14,maria,1619,Female,1998
15,natalie,1526,Female,1998
16,madison,1436,Female,1998
17,victoria,1419,Female,1998
18,kimberly,1395,Female,1998
19,taylor,1372,Female,1998
20,melissa,1355,Female,1998
21,brianna,1327,Female,1998
22,diana,1318,Female,1998
23,amanda,1316,Female,1998
24,michelle,1285,Female,1998
25,nicole,1273,Female,1998
1,jessica,3187,Female,1997
2,jennifer,2780,Female,1997
3,ashley,2605,Female,1997
4,emily,2518,Female,1997
5,samantha,2478,Female,1997
6,stephanie,2153,Female,1997
7,sarah,2128,Female,1997
8,vanessa,1979,Female,1997
9,elizabeth,1975,Female,1997
10,alexis,1883,Female,1997
11,maria,1821,Female,1997
12,jasmine,1791,Female,1997
13,alyssa,1725,Female,1997
14,melissa,1717,Female,1997
15,hannah,1617,Female,1997
16,kimberly,1574,Female,1997
17,victoria,1440,Female,1997
18,taylor,1425,Female,1997
19,amanda,1399,Female,1997
20,lauren,1355,Female,1997
21,natalie,1340,Female,1997
22,madison,1331,Female,1997
23,michelle,1330,Female,1997
24,megan,1315,Female,1997
25,diana,1262,Female,1997
1,jessica,3804,Female,1996
2,ashley,2663,Female,1996
3,stephanie,2620,Female,1996
4,jennifer,2493,Female,1996
5,samantha,2450,Female,1996
6,emily,2448,Female,1996
7,sarah,2244,Female,1996
8,vanessa,2149,Female,1996
9,elizabeth,2112,Female,1996
10,maria,2077,Female,1996
11,alexis,1826,Female,1996
12,jasmine,1754,Female,1996
13,kimberly,1727,Female,1996
14,melissa,1719,Female,1996
15,amanda,1633,Female,1996
16,alyssa,1545,Female,1996
17,michelle,1488,Female,1996
18,hannah,1461,Female,1996
19,rachel,1430,Female,1996
20,taylor,1410,Female,1996
21,victoria,1360,Female,1996
22,andrea,1359,Female,1996
23,natalie,1332,Female,1996
24,megan,1317,Female,1996
25,jacqueline,1315,Female,1996
1,jessica,4562,Female,1995
2,ashley,2880,Female,1995
3,stephanie,2851,Female,1995
4,jennifer,2663,Female,1995
5,samantha,2413,Female,1995
6,emily,2318,Female,1995
7,sarah,2231,Female,1995
8,elizabeth,2196,Female,1995
9,amanda,2001,Female,1995
10,vanessa,1959,Female,1995
11,maria,1949,Female,1995
12,kimberly,1752,Female,1995
12,melissa,1752,Female,1995
14,alexis,1635,Female,1995
14,jasmine,1635,Female,1995
16,taylor,1603,Female,1995
17,michelle,1583,Female,1995
18,rachel,1441,Female,1995
19,megan,1435,Female,1995
20,lauren,1423,Female,1995
21,nicole,1405,Female,1995
22,andrea,1353,Female,1995
23,alyssa,1345,Female,1995
24,alexandra,1343,Female,1995
24,hannah,1343,Female,1995
1,jessica,5241,Female,1994
2,ashley,3147,Female,1994
3,stephanie,2961,Female,1994
4,jennifer,2914,Female,1994
5,samantha,2433,Female,1994
6,elizabeth,2346,Female,1994
7,sarah,2239,Female,1994
8,emily,2165,Female,1994
9,amanda,2158,Female,1994
10,vanessa,2102,Female,1994
11,nicole,2090,Female,1994
12,maria,1965,Female,1994
13,kimberly,1953,Female,1994
14,jasmine,1912,Female,1994
15,melissa,1858,Female,1994
16,michelle,1841,Female,1994
17,taylor,1707,Female,1994
18,lauren,1521,Female,1994
19,alexis,1497,Female,1994
20,danielle,1488,Female,1994
21,megan,1474,Female,1994
22,rachel,1450,Female,1994
23,victoria,1423,Female,1994
24,alyssa,1421,Female,1994
25,andrea,1385,Female,1994
1,jessica,5509,Female,1993
2,ashley,3541,Female,1993
3,stephanie,3403,Female,1993
4,jennifer,2971,Female,1993
5,elizabeth,2593,Female,1993
6,samantha,2529,Female,1993
7,sarah,2521,Female,1993
8,amanda,2377,Female,1993
9,vanessa,2196,Female,1993
10,nicole,2163,Female,1993
11,michelle,2152,Female,1993
12,maria,2131,Female,1993
13,melissa,2110,Female,1993
14,emily,2070,Female,1993
15,jasmine,1883,Female,1993
16,taylor,1867,Female,1993
17,lauren,1735,Female,1993
18,brittany,1563,Female,1993
19,alexandra,1559,Female,1993
20,rachel,1540,Female,1993
21,victoria,1539,Female,1993
22,danielle,1533,Female,1993
23,andrea,1479,Female,1993
24,alyssa,1467,Female,1993
25,megan,1437,Female,1993
1,jessica,6268,Female,1992
2,ashley,3926,Female,1992
3,stephanie,3771,Female,1992
4,jennifer,3356,Female,1992
5,elizabeth,2819,Female,1992
6,amanda,2776,Female,1992
7,sarah,2647,Female,1992
8,samantha,2501,Female,1992
9,michelle,2343,Female,1992
10,nicole,2315,Female,1992
11,maria,2273,Female,1992
12,melissa,2272,Female,1992
13,vanessa,2165,Female,1992
14,emily,1848,Female,1992
15,lauren,1824,Female,1992
16,brittany,1789,Female,1992
17,megan,1627,Female,1992
18,danielle,1618,Female,1992
19,andrea,1583,Female,1992
20,chelsea,1533,Female,1992
21,christina,1499,Female,1992
22,rachel,1475,Female,1992
23,alexandra,1463,Female,1992
24,rebecca,1406,Female,1992
25,katherine,1405,Female,1992
1,jessica,6849,Female,1991
2,ashley,4185,Female,1991
3,stephanie,3981,Female,1991
4,jennifer,3523,Female,1991
5,amanda,3198,Female,1991
6,elizabeth,3081,Female,1991
7,samantha,2757,Female,1991
8,sarah,2700,Female,1991
9,melissa,2532,Female,1991
10,michelle,2282,Female,1991
11,maria,2273,Female,1991
12,brittany,2255,Female,1991
13,nicole,2170,Female,1991
14,vanessa,2164,Female,1991
15,lauren,1921,Female,1991
16,megan,1863,Female,1991
17,christina,1834,Female,1991
18,emily,1727,Female,1991
19,rachel,1634,Female,1991
20,danielle,1599,Female,1991
21,andrea,1501,Female,1991
22,laura,1492,Female,1991
23,jasmine,1482,Female,1991
24,rebecca,1459,Female,1991
25,alexandra,1457,Female,1991
1,jessica,6532,Female,1990
2,ashley,4464,Female,1990
3,stephanie,4007,Female,1990
4,amanda,3803,Female,1990
5,jennifer,3586,Female,1990
6,elizabeth,3121,Female,1990
7,sarah,2803,Female,1990
8,samantha,2750,Female,1990
9,brittany,2685,Female,1990
10,melissa,2422,Female,1990
11,michelle,2417,Female,1990
12,nicole,2301,Female,1990
13,maria,2291,Female,1990
14,vanessa,2206,Female,1990
15,lauren,2164,Female,1990
16,megan,1986,Female,1990
17,christina,1912,Female,1990
18,emily,1706,Female,1990
19,danielle,1691,Female,1990
20,alyssa,1630,Female,1990
21,rebecca,1553,Female,1990
22,laura,1535,Female,1990
23,rachel,1530,Female,1990
24,andrea,1426,Female,1990
25,amber,1415,Female,1990
1,jessica,6431,Female,1989
2,ashley,4459,Female,1989
3,amanda,3809,Female,1989
4,jennifer,3485,Female,1989
5,stephanie,3442,Female,1989
6,elizabeth,3009,Female,1989
7,sarah,2968,Female,1989
8,brittany,2956,Female,1989
9,samantha,2577,Female,1989
10,nicole,2469,Female,1989
11,melissa,2438,Female,1989
12,michelle,2341,Female,1989
13,vanessa,2283,Female,1989
14,lauren,2204,Female,1989
15,christina,2064,Female,1989
16,maria,1869,Female,1989
17,megan,1800,Female,1989
18,danielle,1721,Female,1989
19,rachel,1514,Female,1989
20,emily,1495,Female,1989
21,laura,1467,Female,1989
22,amber,1459,Female,1989
23,tiffany,1447,Female,1989
24,rebecca,1442,Female,1989
25,heather,1394,Female,1989
1,jessica,6493,Female,1988
2,ashley,4800,Female,1988
3,jennifer,3846,Female,1988
4,amanda,3818,Female,1988
5,stephanie,3254,Female,1988
6,sarah,3020,Female,1988
7,elizabeth,2705,Female,1988
8,nicole,2582,Female,1988
9,melissa,2536,Female,1988
10,brittany,2406,Female,1988
11,vanessa,2286,Female,1988
12,michelle,2273,Female,1988
13,samantha,2235,Female,1988
14,christina,2230,Female,1988
15,lauren,2052,Female,1988
16,danielle,1848,Female,1988
17,tiffany,1756,Female,1988
18,heather,1708,Female,1988
19,megan,1695,Female,1988
20,amber,1618,Female,1988
21,crystal,1544,Female,1988
22,maria,1529,Female,1988
23,rachel,1494,Female,1988
24,laura,1379,Female,1988
25,emily,1358,Female,1988
1,jessica,6795,Female,1987
2,ashley,5045,Female,1987
3,jennifer,4273,Female,1987
4,amanda,3902,Female,1987
5,stephanie,3101,Female,1987
6,sarah,2911,Female,1987
7,nicole,2540,Female,1987
8,melissa,2536,Female,1987
9,elizabeth,2390,Female,1987
10,christina,2179,Female,1987
11,michelle,2081,Female,1987
12,vanessa,2052,Female,1987
13,brittany,1976,Female,1987
14,danielle,1914,Female,1987
15,samantha,1835,Female,1987
16,heather,1804,Female,1987
17,lauren,1723,Female,1987
18,megan,1662,Female,1987
19,amber,1561,Female,1987
20,laura,1500,Female,1987
21,maria,1499,Female,1987
22,rachel,1498,Female,1987
23,tiffany,1462,Female,1987
24,crystal,1447,Female,1987
25,kimberly,1438,Female,1987
1,jessica,5941,Female,1986
2,ashley,4419,Female,1986
3,jennifer,4320,Female,1986
4,amanda,3503,Female,1986
5,sarah,3006,Female,1986
6,stephanie,2708,Female,1986
7,nicole,2697,Female,1986
8,melissa,2394,Female,1986
9,elizabeth,2347,Female,1986
10,christina,2302,Female,1986
11,vanessa,2028,Female,1986
12,michelle,1962,Female,1986
13,brittany,1779,Female,1986
14,heather,1762,Female,1986
15,lauren,1726,Female,1986
16,megan,1668,Female,1986
17,amber,1667,Female,1986
18,maria,1655,Female,1986
19,danielle,1641,Female,1986
20,crystal,1590,Female,1986
21,rachel,1507,Female,1986
22,laura,1490,Female,1986
23,kimberly,1467,Female,1986
24,samantha,1402,Female,1986
25,tiffany,1401,Female,1986
1,jessica,5508,Female,1985
2,jennifer,4946,Female,1985
3,ashley,3931,Female,1985
4,amanda,3180,Female,1985
5,nicole,2878,Female,1985
6,stephanie,2624,Female,1985
7,melissa,2509,Female,1985
8,elizabeth,2466,Female,1985
9,christina,2450,Female,1985
10,sarah,2420,Female,1985
11,michelle,2077,Female,1985
12,vanessa,2065,Female,1985
13,heather,1873,Female,1985
14,megan,1858,Female,1985
15,laura,1696,Female,1985
16,amber,1644,Female,1985
17,danielle,1639,Female,1985
18,crystal,1620,Female,1985
19,maria,1566,Female,1985
20,rachel,1507,Female,1985
21,lauren,1499,Female,1985
22,brittany,1416,Female,1985
23,kimberly,1410,Female,1985
24,tiffany,1316,Female,1985
25,amy,1234,Female,1985
1,jennifer,5534,Female,1984
2,jessica,4999,Female,1984
3,ashley,3006,Female,1984
4,nicole,2636,Female,1984
5,melissa,2549,Female,1984
6,sarah,2494,Female,1984
7,stephanie,2459,Female,1984
8,amanda,2299,Female,1984
